"7422793","much-needed","急需的"
"7422794","tumbled","重挫; (v.) 翻到，滾動（tumble的過去分詞）"
"7422795","tumble","下跌; (n.) 跌倒；翻筋斗；跌跤"
"7422800","turmoil","動盪; (n.) 混亂，騷動"
"7422804","consensus","共識"
"7422807","sovereign","君主; (n.) 君主；獨立國；最高統治者","Put simply, your sovereign is your king or queen. George III was the sovereign of Great Britain and her colonies — including the American ones. At least he was until a little thing called the Revolutionary War upset everything."
"7422809","privatization","私有化; (n.) 私有化"
"7422811","Portugal","葡萄牙; (n.) 葡萄牙（歐洲西南部國家）"
"7422814","complacent","自滿; (adj.) 自滿的；得意的；滿足的"
"7422815","repeal","廢除; (n.) 廢除；撤銷"
"7422818","lending","貸款; (n.) 出借；出借物"
"7422819","bull","公牛; (n.) 公牛；看好股市者；粗壯如牛的人；胡說八道；印璽"
"7422824","dialled back","撥了回來"
"7422833","monetarism","貨幣主義; (n.) 貨幣主義"
"7422835","monetary","貨幣; (adj.) 貨幣的；財政的"
"7422836","buoyant","輕飄; (adj.) 輕快的；有浮力的；上漲的"
"7422837","contagion","傳染性; (n.) 傳染病；蔓延；觸染","contagion risk"
"7423122","intricate","錯綜複雜; (adj.) 複雜的；錯綜的，纏結的"
"7423186","embroil","牽連; (vt.) 使捲入；使混亂"
"7423230","conglomerate","集團; (n.) [岩] 礫岩；企業集團；聚合物"
"7423388","petrol","汽油; (n.) （英）汽油"
"7423395","congest","積存; (vt.) 使充血；充塞"
"7423397","guzzling","耗油; (vt.) 狂飲；暴食"
"7423536","cater","迎合; (vt.) 投合，迎合；滿足需要；提供飲食及服務"
"7425500","harakiri","切腹（德國電影）"
"7425503","cajole","哄騙; (vt.) 以甜言蜜語哄騙；勾引"
"7425516","peninsula","半島; (n.) 半島"
"7425517","armistice","停戰; (n.) 停戰，休戰；休戰協議"
"7425520","candid","坦率; (adj.) 公正的；坦白的；率直的；偷拍的"
"7425521","Seoul","漢城; (n.) 漢城，首爾（韓國首都）"
"7425522","mediate","調解; (adj.) 間接的；居間的"
"7425523","ample","充足; (adj.) 豐富的；足夠的；寬敞的"
"7425524","Pyongyang","平壤; (n.) 平壤（朝鮮民主主義人民共和國首都）"
"7425525","ovation","歡呼; (n.) 熱烈歡迎；大喝采"
"7425526","vibe","盛傳; (n.) 氣氛，氛圍"
"7425528","incursion","侵入; (n.) 入侵；侵犯"
"7425533","stalemate","僵持; (n.) 僵局；陷於困境"
"7425535","ensued","接踵而至; (vi.) 跟著發生，接著發生；繼起"
"7425536","signatory","簽字; (n.) 簽約國；簽名人"
"7425537","reinvigorate","重振; (vt.) 使再振作；使復興"
"7425539","stalled","失速的"
"7425540","dismantlement","拆除; (n.) 拆卸；拆除的行動或狀態"
