"7379269","quarantine","the period of time during which a person or animal that might have a disease is kept away from others 檢疫期","These animals will spend a few weeks in quarantine when it reaches our country."
"7379270","jolly","happy and cheerful 快活的，高興的","She wore a jolly smile on her face."
"7379271","glib","speaking in a confident way, but without honesty 能言善道的，油腔滑調的","No one will be convinced by your glib explanations."
"7379272","clandestine","done secretly 秘密的，暗中的","These clandestine meetings were usually held at midnight."
"7379273","ossify","to become unable to change or to become hard like bone 僵化，骨化","In the long run, the disease will ossify all of the patient's joints."
"7379274","unprecedented","never having happened before 前所未有的，空前的","The growth of revenue is unprecedented this quarter."
"7379275","momentous","very important 重大的","The peace talks were momentous for the relationship between the two countries."
"7379276","respite","a pause or rest 暫停，中止，休息","The swimmers swam for hours without respite."
"7379277","cantankerous","tending to argue and complain 抱怨不休的，脾氣壞的","When she grew older, she became quite cantankerous."
"7379278","aggregate","to join into a single group 聚集","In the garden, you can see butterflies aggregate in dense groups."
"7379279","magnify","to make something look bigger than it is 放大，擴大","Any signs of dissatisfaction were magnified."
"7379280","preeminent","more important or successful than others 卓越的，顯著的","He is one of the preeminent chefs in our city."
"7379281","furbish","to give a new look to something 刷新，磨光","Last week, we met at my aunt's newly furbished house."
"7379282","calumniate","to make false statements about someone or something 誹謗，污衊","The mob opened the graves and calumniated the dead."
"7379283","denigrate","to say that someone or something is not good 貶低，詆毀","Don't denigrate people just because they do not have a college education."
"7379284","conquest","the act of taking complete control of a country or a group of people 征服","The emperor's desire for conquest knew no bounds."
"7379285","garner","to collect something 收集，獲得","The movie has garnered several awards."
"7379286","grotesque","strange and unpleasant 古怪的，形狀怪異的","The grotesque masks on the wall are scaring."
"7379287","exude","to show a quality or emotion clearly 流露，顯現","He exuded confidence at the meeting."
"7379288","induce","to persuade someone to do something 誘使，勸說","They induced him to take the job by promising promotion."
"7379289","approbation","praise or approval 核准，認可","The result of the program has met worldwide approbation."
"7379290","apathy","the feeling of not having much emotion 冷漠，無感情","There has been a growing apathy about the H.I.V. epidemic."
"7379291","impose","to officially force a rule to be obeyed 推行，強制實行，徵稅","It is said that the government will impose very high taxes on cigarettes."
"7379292","exclusive","not shared or available to only a few people because of high cost 專有的，獨佔的，高檔的，豪華的","Some of the senators belong to this exclusive club."
"7379293","starch","a white substance which provides the body with energy and is found in foods such as rice and potatoes 澱粉","You should avoid starches and alcohol."
"7379294","vernacular","the language of ordinary speech rather than formal writing 本地話，方言","These phrases are common in the local vernacular."
"7379295","revival","when something becomes more popular again 復甦，復興，重新流行","An economic revival is sweeping Asian countries."
"7379296","hoax","a plan to deceive someone 惡作劇，騙局","The bomb threat at the school turned out to be a hoax."
"7379297","kempt","neatly kept 整潔的，收拾整齊的","Even after retirement, he was still looking as kempt as ever."
"7379298","stigmatize","to describe something or someone in a way that shows strong disapproval 污辱，使背負污名","The legal system tends to stigmatize blacks as criminals."
"7379299","onus","the responsibility to do something 負擔，義務","He shifted the onus for losing the game onto other team members."
"7379300","construe","to understand something in a particular way 解釋，理解為","His gesture can be construed as an apology."
"7379301","tactic","an action or method that is planned and used to achieve a particular goal 策略，手法","We may need to change tactics to deal with crimes."
"7379302","potent","effective and powerful 強有力的，有效力的","The drug is potent, but beware of its side-effects."
"7379303","digress","to move away from the main subject one is writing or talking about 離題","He digressed and I could not follow what he was saying."
"7379304","devout","devoted to a particular belief, organization, etc. 虔誠的","He is a devout Buddhist."
"7379305","heinous","very bad and shocking 兇惡的，可憎的，極惡的","The gang leader was accused of committing heinous crimes."
"7379306","refute","to say that a person or an opinion is wrong 駁斥，反駁","He refutes the notion that he's planning to step down."
"7379307","dialect","a form of a language that is spoken in a particular area 方言，地方話","The author used to use a lot of dialect in his writing."
"7379308","primordial","existing since the beginning of the world 原生的，原始的","This arid place was populated by dense primordial forest twenty million years ago."
"7379309","concession","something done in order to reach an agreement 讓步","The manager is unwilling to make any further concessions."
"7379310","permeate","to pass or spread through 瀰漫，滲透","The seawater permeated the soil in the village."
"7379311","delusion","a false idea or belief 錯覺，妄想，謬見","You are under the delusion that you will make it to the train."
"7379312","algae","small plants that grow in or near water and do not have ordinary leaves 海藻","This organic matter is extracted from algae."
"7379313","transitory","of brief duration 短暫的，轉瞬即逝的","The poet explores the transitory nature of life in this poem."
"7379314","stringent","very strict 嚴厲的，苛刻的","After the accident, we need to introduce more stringent safety regulations."
"7379315","docile","ready to accept control or instruction 馴服的，聽話的","All the students were docile and motivated."
